ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
4,2.0,22.0,5.7,13.9,83,22,1.02,19.6976,0.0
3,1.0,22.0,4.7,13.4,79,28,3.86,19.1483,0.0
4,2.4,21.3,3.8,12.5,81,29,2.12,18.0895,
4,2.0,19.3,0.5,9.9,74,24,-1.3,16.8563,0.0
2,0.4,22.2,0.9,11.6,85,25,1.92,19.4847,
6,2.0,22.3,5.0,13.6,80,27,4.16,19.5547,0.0
2,0.4,15.7,3.5,9.6,94,56,6.76,13.8523,0.1
2,0.4,21.8,3.8,12.8,100,34,6.28,17.6253,
4,1.2,22.1,7.4,14.8,73,27,4.54,18.7935,0.1
4,0.8,23.0,4.5,13.8,94,30,5.32,20.2565,0.0
2,0.8,23.5,3.5,13.5,75,17,0.14,20.0756,0.0
5,3.2,23.1,8.9,16.0,43,19,-0.38,21.6443,0.0
2,0.8,26.5,2.1,14.3,73,15,-0.16,24.0884,0.0
3,1.4,27.1,8.4,17.8,65,27,3.52,23.9375,
4,2.8,21.3,12.3,16.8,87,39,7.88,18.6409,0.01
2,0.4,22.4,6.6,14.5,99,46,9.1,18.9574,
4,1.8,23.5,5.8,14.6,84,26,4.18,18.5423,0.0
4,1.2,19.8,2.8,11.3,99,34,3.66,16.1439,0.9
4,3.0,17.1,6.9,12.0,83,42,3.64,14.9336,
4,2.6,22.5,2.5,12.5,78,28,2.86,18.8857,0.0
6,2.2,24.5,5.0,14.8,78,24,2.9,21.5604,
2,1.2,24.4,6.1,15.3,80,27,4.64,21.4542,0.0
3,1.6,22.4,3.9,13.1,90,27,3.18,20.4695,
6,2.8,19.2,9.6,14.4,51,33,3.44,18.6207,0.0
6,2.8,19.3,8.5,13.9,68,32,3.02,18.1051,0.0
3,1.4,23.1,1.6,12.4,84,27,2.58,20.2324,0.0
3,0.6,23.5,5.1,14.3,84,31,5.82,22.0632,0.0
5,3.4,27.3,7.8,17.5,88,16,5.3,26.1429,0.9
4,2.2,25.1,6.0,15.6,65,26,3.38,20.9486,0.2
4,2.6,23.3,5.5,14.4,99,28,5.64,21.3409,11.0
5,1.8,25.3,5.9,15.6,80,24,4.26,23.4319,0.0
2,1.2,27.9,6.7,17.3,67,25,5.06,28.0443,0.0
2,0.8,29.9,8.5,19.2,49,19,4.4,31.3152,0.0
5,1.0,26.5,10.4,18.5,50,27,3.66,25.1073,0.0
6,2.8,26.7,8.6,17.7,54,19,2.64,26.7489,0.0
3,2.2,23.5,4.0,13.8,44,23,0.34,21.2999,0.0
5,3.6,21.8,10.0,15.9,59,30,2.9,20.2575,0.0
4,1.8,27.9,5.9,16.9,68,25,3.94,25.9214,
5,2.6,29.2,7.0,18.1,73,19,3.76,28.711,0.2
3,1.8,30.5,7.2,18.9,71,17,4.12,31.0313,0.0
3,1.0,31.1,8.9,20.0,69,18,4.66,32.1012,0.0
5,2.4,29.2,10.5,19.9,54,26,4.6,28.2726,0.0
5,3.0,25.2,7.9,16.6,62,19,0.34,25.3706,0.0
4,2.0,23.9,6.3,15.1,58,22,2.02,23.3816,0.0
3,1.4,26.6,11.1,18.9,54,20,2.68,25.7124,0.2
3,1.0,28.7,7.1,17.9,57,17,2.46,29.9859,
4,2.4,30.3,14.0,22.1,41,16,2.58,32.0222,0.0
5,2.6,31.9,14.8,23.4,49,15,3.96,33.8124,
4,3.0,32.5,16.5,24.5,32,16,2.5,35.8512,
4,1.6,34.2,11.8,23.0,43,14,4.14,38.3715,0.0
4,1.2,33.8,12.3,23.0,40,16,4.18,38.0655,0.0
6,3.6,32.6,14.0,23.3,47,16,4.14,33.8816,
4,2.6,31.4,11.8,21.6,51,16,4.06,33.4232,0.0
7,3.8,33.0,15.9,24.5,38,17,4.48,36.1455,
5,3.4,34.4,15.1,24.8,36,15,4.94,38.7021,0.0
4,1.6,35.2,17.4,26.3,47,16,4.6,38.1162,
3,2.2,34.6,15.6,25.1,35,18,4.98,38.7345,0.0
3,0.6,14.3,-3.8,5.3,94,32,-2.64,11.5327,0.0
4,2.4,15.3,-1.9,6.7,82,26,-1.7,12.4565,0.0
3,1.4,15.7,-2.1,6.8,95,27,-1.34,12.6398,0.0
5,2.4,17.0,0.6,8.8,81,27,-1.34,14.4282,
4,2.4,17.8,2.1,9.9,68,28,-0.26,15.8868,0.0
2,1.2,20.9,-2.4,9.3,82,20,-2.96,16.0986,0.0
3,1.6,20.9,-0.9,10.0,76,25,-1.24,16.7963,0.0
4,1.4,19.9,-0.9,9.5,79,24,-1.28,15.9973,0.0
7,3.6,22.8,3.1,12.9,69,28,1.9,19.7213,0.0
6,3.6,17.6,8.5,13.1,95,57,8.3,14.5317,
7,5.2,9.3,1.2,5.3,68,39,-4.38,9.77367,5.0
5,3.2,11.0,-3.8,3.6,92,32,-4.24,9.89915,0.0
4,3.4,17.0,4.8,10.9,70,26,-2.0,15.0673,0.0
2,0.8,15.9,-1.1,7.4,82,33,-1.64,13.4141,
4,1.8,18.1,-1.5,8.3,92,25,-1.22,15.0832,0.0
5,2.4,18.1,-1.4,8.4,83,25,-2.56,14.9093,
9,5.4,22.6,6.4,14.5,45,19,-3.08,20.7413,0.0
9,5.4,20.5,2.3,11.4,71,22,-1.28,17.9524,0.0
3,2.0,14.8,-5.5,4.7,75,22,-8.46,11.5082,0.0
2,0.8,20.5,-1.6,9.4,62,13,-6.02,16.1711,
4,1.8,20.8,-0.8,10.0,71,22,-3.38,17.3695,
5,2.0,26.1,0.8,13.4,85,13,-1.18,23.0705,0.0
7,4.0,25.5,5.9,15.7,45,14,-1.5,25.23,
8,3.6,22.3,5.4,13.8,91,35,4.5,18.1888,1.0
7,3.8,21.4,3.6,12.5,93,20,0.58,19.6585,0.9
3,1.6,17.1,3.4,10.3,67,39,2.34,14.623,0.0
5,2.0,23.6,0.8,12.2,97,17,-0.46,19.6935,0.1
4,1.6,20.5,1.6,11.1,68,25,-0.1,18.6765,
3,2.2,25.7,6.1,15.9,65,20,1.42,25.1162,
6,3.0,27.0,4.1,15.6,82,17,0.62,25.6505,0.0
3,1.0,22.9,3.3,13.1,59,16,-2.7,20.0641,0.0
4,1.6,27.1,5.1,16.1,66,12,-2.2,25.5086,0.0
4,2.0,28.6,5.0,16.8,56,15,1.02,28.0607,0.0
3,1.8,28.7,7.5,18.1,57,16,1.28,28.9521,
4,2.2,29.5,7.2,18.4,53,15,0.68,28.9946,
6,2.8,28.7,9.3,19.0,51,13,-0.4,29.3948,0.0
5,2.8,27.8,4.3,16.0,57,13,-2.72,27.4159,0.0
3,1.8,25.2,6.2,15.7,56,23,1.98,24.3965,0.0
2,1.2,26.6,6.3,16.5,57,19,1.36,25.5941,0.0
4,2.2,26.1,6.8,16.5,61,15,-0.22,25.3076,
6,2.4,26.7,3.7,15.2,49,18,-1.02,25.3363,0.0
3,1.8,27.4,8.8,18.1,59,23,3.54,26.4761,0.0
4,1.2,29.5,7.3,18.4,81,19,4.58,28.4095,0.1
4,1.4,29.5,11.9,20.7,67,18,4.64,30.4651,0.0
4,2.0,32.7,14.0,23.4,50,15,3.62,36.0212,0.0
3,1.6,33.3,9.3,21.3,40,14,1.24,35.93,0.0
3,2.2,32.9,9.8,21.4,42,13,0.38,35.7423,0.0
4,2.2,32.8,15.7,24.3,25,12,-0.04,37.5116,0.0
2,1.2,32.7,10.2,21.5,52,12,2.2,35.1573,0.0
5,2.0,32.7,9.0,20.9,46,11,-0.54,36.4647,0.0
4,2.2,33.5,14.9,24.2,49,15,4.02,35.5866,
5,2.6,32.7,14.0,23.4,31,13,1.3,36.744,0.0
5,3.2,31.7,16.8,24.3,24,12,-1.36,35.6761,0.0
3,1.4,31.6,7.6,19.6,46,8,-2.58,32.8319,
4,1.6,33.2,8.9,21.0,32,11,-2.12,35.6218,0.0
5,2.4,34.0,14.4,24.2,38,12,1.76,36.1519,0.0
4,1.8,32.9,8.7,20.8,45,11,-0.82,34.7168,
4,2.0,28.1,7.0,17.5,45,14,-0.36,28.6156,0.0
2,0.8,30.0,8.6,19.3,48,14,0.94,31.0544,0.0
4,2.2,32.5,8.7,20.6,41,8,-2.1,35.1846,0.0
3,1.4,33.6,7.5,20.5,39,10,-2.34,36.3346,
4,2.2,34.4,10.4,22.4,28,12,1.26,39.8943,
5,2.4,29.0,10.7,19.9,52,12,-1.68,30.8513,0.0
3,2.0,28.1,8.6,18.4,47,15,-0.5,27.8082,
4,1.6,31.4,9.0,20.2,56,12,0.96,32.1149,0.0
4,1.6,34.4,10.4,22.4,32,12,-0.02,39.5731,0.0
