ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
11,4.84615,7.5,0.6,4.1,93,61,0.446154,8.27339,
5,1.53846,7.9,-1.9,3.0,92,56,-1.39231,8.21977,0.0
5,1.30769,10.6,-5.3,2.7,95,52,-0.815385,8.84274,
4,1.30769,16.1,-2.7,6.7,88,29,-1.65385,12.4202,0.0
4,1.38462,17.5,-3.0,7.3,87,29,-1.86154,12.6095,0.0
7,1.15385,17.2,-2.7,7.3,90,28,-1.20769,13.348,0.0
11,2.9,15.8,-1.1,7.3,85,31,0.133333,12.3825,0.0
11,2.0,6.2,0.0,3.1,98,92,2.72308,7.71084,36.0
6,0.769231,8.6,-1.3,3.7,100,66,1.12308,7.8096,18.0
6,1.69231,8.2,1.4,4.8,97,60,0.592308,8.96594,0.3
4,1.30769,10.6,-1.5,4.6,100,42,0.215385,9.20717,0.0
5,1.53846,12.9,-2.3,5.3,94,43,-0.146154,10.6451,
9,0.846154,11.3,1.3,6.3,93,62,1.98462,10.0058,0.0
16,7.30769,4.7,0.5,2.6,74,58,-3.70769,7.07083,0.0
16,8.15385,0.4,-4.1,-1.8,67,56,-8.37692,5.3717,0.0
9,3.69231,1.3,-3.8,-1.3,75,62,-5.80769,5.94204,0.0
13,5.0,1.8,-2.0,-0.1,88,60,-4.88462,6.14305,0.02
8,2.69231,7.9,-6.5,0.7,62,16,-13.3692,8.08195,
4,1.07692,11.2,-7.3,1.9,81,23,-8.39231,9.04645,0.0
8,2.38462,12.9,-5.8,3.5,83,23,-7.13077,10.3123,0.0
7,1.69231,7.0,0.0,3.5,98,76,1.70769,7.74328,4.1
8,2.61538,11.8,-4.2,3.8,99,39,-0.338462,9.78061,0.8
11,3.0,13.9,-1.8,6.0,91,41,0.0076923,11.1926,0.0
14,4.61538,12.4,-0.6,5.9,73,38,-0.984615,11.701,0.0
10,3.38462,12.6,4.4,8.5,85,50,2.24615,10.9705,0.0
6,1.61538,13.3,-3.9,4.7,91,37,-1.07692,11.4941,0.0
7,1.92308,18.2,-2.1,8.1,91,22,-1.71538,13.8763,0.0
10,4.38462,18.4,7.7,13.0,70,40,5.26923,16.0312,1.0
12,4.69231,16.8,1.5,9.1,88,21,-0.0846153,14.6859,0.0
10,1.84615,11.4,1.8,6.6,89,57,4.37692,11.2945,4.0
11,2.92308,13.2,7.3,10.3,100,65,7.53846,12.6234,
7,1.92308,13.7,0.2,6.9,95,45,1.43077,11.8923,0.0
16,1.76923,16.9,0.0,8.4,86,29,1.18462,14.7161,0.0
13,3.53846,9.1,3.3,6.2,95,72,4.34615,10.0073,28.0
11,4.30769,11.2,-1.1,5.0,87,50,0.292308,10.4146,2.0
10,2.07692,15.9,0.6,8.3,92,40,2.03077,12.9433,0.0
7,1.84615,17.5,0.6,9.1,57,27,-2.64615,14.6859,0.0
5,1.30769,19.2,-0.3,9.5,82,25,-0.530769,15.4826,0.0
8,2.15385,20.2,1.4,10.8,77,23,0.476923,18.0089,0.0
